Душанбе	38,5610350	68,7860420	770	0,410
Aşgabat	37,9598760	58,3381670	1.032	0,440
Пермь	58,0265910	56,2589890	991	0,790
नई दिल्ली	28,6153140	77,2110430	21.800	0,780
मुंबई	19,0744110	72,8907900	28.860	0,680
කොළඹ	6,9259270	79,8647880	753	0,790
काठमाडौँ	27,7182260	85,3206390	1.003	0,630
ཐིམ་ཕུ་	27,4713260	89,6332450	115	0,700
ঢাকা	23,8139190	90,4131440	8.906	0,550
Новосибирск	55,0124410	82,9329200	1.511	0,750
乌鲁木齐市	43,8263980	88	3.520	0,760
Хатанга	71,9640000	102,4403980	3	0,590
Улаанбаатар	47,8856430	106,9063330	1.452	0,760
成都市	30,5786800	104,0721050	15.710	0,770
နေပြည်တော်	19,7634750	96,0786240	1.160	0,650
กรุงเทพมหานคร	13,7599110	100,5397180	8.281	0,800
ວຽງຈັນ	17,9803480	103	754	0,630
រាជធានី​ភ្នំពេញ	11,5551130	104,9258830	1.502	0,650
Hà Nội	21,0279460	105,8349890	6.449	0,660
重庆市	29,4347100	106,9042710	30.480	0,740
西安市	34,3418780	108,9424580	8.628	0,800
北京市	39,9090580	116,4207750	21.540	0,840
长春市	43,8147540	125,3069950	7.674	0,820
昆明市	24,8837380	102,8255000	6.728	0,790
香港	22,3247790	114,1593200	7.392	0,680
澳門	22,1985930	113,5438920	623	0,640
厦门市	24,4782440	118,0882620	2.520	0,790
武汉市	30,5887320	114,3051830	11.080	0,750
台北	25,0408030	121,5530610	2.674	0,770
上海市	31,2287430	121,4629870	24.240	0,800
临沂市	35,1036430	118,3494290	10.440	0,770
Якутск	62,0347790	129,6759750	270	0,650
Владивосток	43,1205170	131,8703480	599	0,690
Петропавловск-Камчатский	53,0430170	158,6817610	181	0,620
평양	39,0416510	125,7613360	3.271	0,450
서울특별시	37,5598700	126,9812750	9.767	0,880
東京	35,6823860	139,7539060	37.555	0,880
広島市	34,3919660	132,4561860	1.194	0,820
Lungsod ng Maynila	14,5984890	120,9853960	1.780	0,720
சிங்கப்பூர் குடியரசு	1,3663980	103,8455000	5.709	0,780
Jakarta	-6,2078990	106,8432490	29.960	0,650
Pot Mosbi	-9,4431090	147,1794440	364	0,680
Melbourne	-37,8074980	144,9720850	4.936	0,890
Sydney	-33,8707350	151,1942450	4.627	0,910
Brisbane	-27,4671900	153,0178850	2.280	0,870
Perth	-31,9454140	115,8571370	1.985	0,860
Wellington	-41,2845440	174,7803880	191	0,950
Christchurch	-43,5339570	172,6334040	382	0,960
الرِّبَاط‎	33,9737550	-6,8510850	578	0,500

كوالا لومڤور	3,138161	101,679091	8.063	0,66
